"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,
2015/12/1,"5,363 ","16,210 ","34,679 ","43,795 ","24,695 ","15,498 ","11,847 ","4,036 ","3,221 ","15,121 ","2,409 ","4,529 ","7,072 ","10,377 ","9,618 ","17,368 ","15,761 ","5,602 ","7,889 ","3,263 ","8,326 ","8,208 ","4,354 ","28,495 ","2,119 ","11,749 ","11,263 ","15,984 ","21,018 ","16,422 ","9,330 ","27,530 ","17,717 ","32,477 ","28,917 ","9,425 ","34,665 ","25,779 ","25,545 ","20,978 ","24,211 ","128,010 ","32,477 ","21,699 ","25,860 ","25,387 ","35,624 ","28,231 ","23,261 ","13,708 ","30,475 ","7,869 ","9,055 ","17,623 ","7,016 ","3,480 ","2,877 ","13,543 ","9,858 ","7,589 ","37,407 ","6,427 ","11,083 ","6,725 ","20,905 ","21,283 ","27,290 ","35,730 ","42,504 ","25,233 ","28,251 ","60,825 ","21,819 ","30,002 ","35,574 ","20,409 ","53,460 ","20,147 ","16,793 ","15,025 ","12,844 ","11,024 ","29,291 ","15,473 ","7,020 ","7,029 ","35,467 ","17,703 ","19,401 ","20,034 ","12,868 ","10,474 ","4,856 ","4,446 ","4,305 ","9,252 ","8,172 ","12,851 ","16,725 ","24,873 ","22,501 ","12,063 ","12,038 ","11,331 ","12,184 ","11,277 ","8,885 ","8,526 ",
2015/12/2,"5,405 ","16,304 ","35,173 ","44,930 ","24,885 ","16,005 ","12,057 ","4,079 ","3,623 ","15,658 ","2,524 ","4,752 ","7,294 ","10,631 ","10,142 ","17,521 ","15,521 ","5,710 ","8,204 ","3,341 ","8,310 ","8,545 ","4,405 ","28,687 ","2,182 ","12,213 ","11,365 ","16,257 ","21,410 ","16,656 ","9,421 ","28,401 ","18,159 ","33,128 ","29,093 ","9,231 ","34,845 ","26,796 ","25,743 ","21,218 ","24,402 ","131,290 ","33,645 ","22,364 ","26,198 ","25,747 ","37,581 ","29,835 ","24,243 ","13,795 ","31,339 ","7,990 ","9,152 ","18,088 ","7,532 ","3,493 ","2,967 ","13,828 ","10,104 ","7,820 ","39,181 ","6,415 ","11,105 ","6,886 ","20,941 ","21,593 ","28,024 ","37,133 ","42,724 ","25,587 ","28,575 ","64,039 ","22,252 ","30,982 ","36,984 ","21,815 ","54,861 ","20,310 ","17,121 ","15,194 ","12,922 ","11,278 ","30,864 ","15,882 ","7,221 ","7,181 ","37,164 ","18,214 ","20,291 ","20,241 ","13,003 ","10,454 ","4,945 ","4,414 ","4,435 ","9,495 ","8,284 ","12,920 ","16,873 ","25,749 ","23,104 ","12,270 ","12,201 ","11,568 ","12,097 ","11,441 ","9,098 ","8,591 ",
2015/12/3,"5,851 ","16,803 ","36,069 ","46,563 ","25,055 ","16,245 ","12,043 ","4,164 ","3,861 ","15,615 ","2,491 ","4,648 ","6,996 ","10,764 ","10,088 ","17,672 ","15,894 ","5,910 ","7,930 ","3,104 ","8,570 ","8,545 ","4,446 ","28,873 ","2,304 ","12,157 ","11,307 ","16,638 ","21,608 ","16,886 ","9,565 ","29,202 ","19,001 ","33,188 ","30,359 ","9,183 ","35,291 ","26,523 ","26,047 ","21,426 ","23,557 ","140,868 ","34,228 ","21,616 ","26,333 ","25,648 ","36,514 ","29,221 ","23,583 ","13,199 ","31,270 ","7,933 ","9,324 ","17,656 ","7,240 ","3,503 ","2,854 ","14,134 ","9,862 ","7,601 ","37,920 ","6,517 ","11,168 ","6,825 ","21,055 ","21,659 ","28,018 ","36,623 ","42,914 ","25,949 ","29,583 ","64,207 ","22,942 ","32,052 ","37,564 ","20,288 ","56,644 ","20,363 ","17,245 ","15,210 ","13,381 ","11,274 ","31,561 ","16,213 ","7,118 ","6,906 ","36,751 ","21,474 ","20,383 ","20,381 ","13,358 ","10,521 ","4,946 ","4,402 ","4,352 ","9,400 ","8,449 ","13,358 ","16,840 ","25,694 ","23,869 ","12,390 ","12,463 ","11,697 ","12,380 ","11,677 ","8,999 ","8,783 ",
2015/12/4,"6,559 ","17,681 ","37,206 ","53,419 ","26,185 ","17,475 ","12,862 ","4,297 ","3,977 ","17,933 ","2,588 ","4,885 ","9,201 ","11,568 ","12,362 ","18,344 ","17,387 ","6,536 ","8,857 ","3,400 ","9,463 ","9,120 ","4,496 ","33,704 ","2,495 ","12,778 ","12,355 ","18,136 ","23,234 ","18,675 ","10,377 ","35,674 ","21,476 ","36,098 ","32,370 ","9,489 ","38,079 ","28,475 ","27,776 ","22,376 ","23,513 ","176,551 ","38,172 ","23,461 ","28,030 ","27,887 ","41,507 ","33,064 ","25,459 ","14,036 ","33,401 ","8,575 ","9,757 ","19,434 ","8,106 ","3,609 ","3,058 ","14,542 ","10,566 ","8,783 ","45,826 ","7,055 ","12,563 ","7,248 ","22,604 ","22,388 ","31,349 ","46,332 ","45,799 ","27,171 ","29,300 ","75,500 ","24,432 ","35,251 ","43,543 ","22,525 ","64,159 ","22,130 ","18,604 ","16,432 ","14,437 ","11,800 ","35,421 ","17,090 ","7,707 ","7,496 ","38,452 ","22,668 ","21,281 ","22,415 ","14,522 ","11,158 ","5,280 ","4,498 ","4,592 ","10,044 ","9,188 ","15,090 ","18,154 ","27,511 ","25,501 ","12,986 ","13,245 ","12,527 ","12,761 ","12,446 ","9,825 ","9,543 ",
2015/12/5,"4,992 ","13,801 ","23,943 ","55,440 ","16,635 ","13,752 ","9,956 ","3,942 ","3,273 ","11,720 ","2,229 ","3,722 ","12,469 ","9,042 ","15,585 ","7,004 ","7,772 ","4,843 ","8,832 ","4,051 ","6,915 ","7,950 ","2,167 ","22,475 ","2,262 ","13,314 ","10,770 ","15,774 ","18,987 ","16,228 ","9,725 ","40,057 ","21,656 ","30,410 ","30,537 ","6,174 ","35,720 ","25,594 ","24,859 ","21,052 ","18,186 ","197,029 ","39,471 ","19,921 ","20,995 ","31,354 ","44,454 ","32,050 ","24,457 ","11,452 ","28,460 ","7,253 ","7,289 ","17,668 ","9,819 ","3,475 ","2,099 ","10,338 ","10,292 ","6,747 ","51,280 ","6,481 ","12,818 ","7,465 ","20,556 ","17,534 ","33,208 ","64,039 ","42,462 ","25,063 ","30,588 ","87,796 ","17,651 ","34,390 ","42,638 ","19,518 ","64,539 ","17,963 ","16,997 ","11,634 ","9,755 ","10,562 ","39,951 ","12,734 ","10,423 ","5,941 ","26,652 ","16,574 ","16,762 ","20,226 ","15,616 ","15,337 ","6,269 ","3,187 ","4,950 ","10,060 ","9,133 ","13,156 ","14,353 ","21,311 ","24,778 ","11,925 ","12,020 ","13,550 ","11,773 ","11,822 ","9,397 ","9,491 ",
2015/12/6,"4,825 ","10,339 ","17,917 ","46,273 ","14,334 ","10,462 ","7,762 ","3,270 ","2,381 ","7,733 ","1,544 ","2,451 ","6,833 ","7,950 ","13,595 ","5,307 ","6,787 ","3,558 ","6,612 ","2,438 ","5,409 ","5,919 ","1,787 ","16,827 ","2,323 ","9,658 ","8,238 ","12,450 ","14,838 ","16,251 ","7,976 ","36,462 ","17,656 ","23,567 ","20,750 ","3,773 ","28,057 ","20,176 ","19,184 ","16,292 ","12,344 ","199,900 ","33,111 ","13,238 ","19,184 ","23,098 ","32,067 ","23,257 ","20,344 ","7,893 ","22,151 ","5,574 ","5,341 ","13,020 ","7,984 ","2,518 ","1,576 ","7,225 ","7,050 ","4,939 ","31,769 ","5,118 ","9,732 ","5,770 ","16,346 ","13,456 ","25,791 ","50,867 ","34,002 ","19,910 ","24,002 ","73,864 ","16,388 ","27,817 ","34,339 ","15,384 ","55,983 ","14,032 ","12,928 ","8,800 ","8,278 ","7,047 ","35,064 ","10,062 ","6,973 ","4,797 ","16,848 ","13,617 ","12,699 ","14,924 ","7,737 ","11,110 ","4,826 ","2,133 ","3,797 ","7,553 ","7,554 ","10,751 ","11,456 ","16,647 ","19,332 ","9,084 ","9,457 ","9,853 ","9,414 ","9,620 ","6,860 ","7,139 ",
2015/12/7,"5,688 ","16,241 ","34,516 ","45,096 ","24,642 ","15,551 ","11,668 ","4,044 ","3,215 ","14,837 ","2,393 ","4,499 ","5,900 ","10,046 ","9,792 ","17,129 ","15,579 ","5,635 ","7,776 ","3,203 ","8,499 ","8,438 ","4,333 ","28,734 ","2,220 ","11,891 ","11,127 ","15,813 ","20,979 ","16,334 ","9,329 ","27,168 ","18,047 ","32,397 ","26,830 ","8,890 ","34,711 ","25,562 ","25,662 ","21,237 ","23,890 ","149,568 ","33,117 ","21,686 ","25,888 ","25,291 ","34,851 ","28,379 ","22,633 ","13,436 ","30,203 ","7,886 ","9,282 ","17,702 ","7,177 ","3,403 ","2,832 ","13,035 ","9,869 ","7,461 ","37,725 ","6,444 ","11,384 ","7,014 ","20,690 ","21,329 ","27,617 ","38,245 ","41,876 ","25,130 ","27,841 ","64,262 ","21,366 ","30,031 ","37,249 ","19,495 ","56,104 ","19,730 ","17,346 ","14,763 ","12,606 ","10,865 ","25,617 ","15,366 ","6,804 ","6,871 ","34,662 ","21,286 ","19,673 ","20,871 ","7,957 ","10,399 ","5,028 ","4,352 ","4,030 ","9,455 ","8,577 ","13,091 ","16,560 ","25,294 ","21,436 ","12,284 ","12,170 ","11,425 ","12,066 ","11,510 ","8,879 ","8,528 ",
2015/12/8,"5,447 ","16,725 ","35,940 ","46,337 ","25,645 ","15,702 ","12,223 ","4,145 ","3,237 ","15,501 ","2,510 ","4,629 ","7,588 ","10,605 ","9,915 ","17,537 ","16,066 ","5,793 ","8,006 ","3,204 ","8,443 ","8,579 ","4,566 ","31,014 ","2,210 ","12,243 ","11,225 ","16,043 ","21,154 ","16,554 ","9,507 ","27,681 ","17,883 ","32,970 ","30,100 ","9,319 ","35,388 ","26,527 ","25,940 ","21,349 ","24,927 ","138,576 ","33,694 ","22,080 ","26,409 ","26,319 ","36,256 ","29,244 ","23,838 ","13,830 ","31,194 ","7,838 ","9,491 ","18,253 ","7,416 ","3,516 ","2,873 ","13,677 ","9,960 ","7,625 ","37,676 ","6,531 ","11,614 ","6,817 ","20,965 ","21,951 ","28,244 ","37,853 ","43,131 ","25,478 ","28,231 ","63,732 ","23,385 ","31,006 ","38,050 ","20,370 ","55,591 ","20,785 ","17,288 ","15,161 ","13,034 ","10,969 ","25,618 ","15,733 ","6,920 ","7,133 ","36,175 ","21,177 ","20,566 ","21,069 ","13,346 ","10,684 ","5,090 ","4,498 ","4,341 ","9,764 ","8,388 ","13,279 ","17,036 ","25,962 ","23,093 ","12,321 ","12,292 ","11,693 ","12,248 ","11,581 ","9,167 ","8,607 ",
2015/12/9,"5,503 ","16,752 ","36,446 ","47,642 ","26,185 ","16,554 ","12,263 ","4,200 ","3,340 ","15,883 ","2,523 ","4,657 ","6,733 ","10,772 ","10,320 ","17,964 ","16,182 ","5,841 ","8,133 ","3,160 ","8,599 ","8,335 ","4,696 ","29,436 ","2,188 ","12,335 ","11,467 ","16,623 ","21,608 ","16,882 ","9,555 ","28,988 ","18,587 ","34,321 ","31,195 ","9,497 ","35,645 ","26,508 ","26,218 ","21,545 ","25,001 ","141,843 ","35,272 ","22,308 ","26,632 ","26,794 ","35,650 ","29,831 ","24,286 ","13,836 ","31,789 ","8,079 ","9,695 ","17,941 ","7,223 ","3,558 ","2,912 ","14,025 ","10,092 ","7,668 ","37,848 ","6,615 ","11,439 ","7,165 ","20,892 ","21,916 ","28,485 ","37,879 ","43,962 ","25,656 ","27,553 ","64,212 ","23,827 ","31,588 ","39,839 ","22,229 ","57,517 ","21,033 ","17,338 ","15,077 ","13,057 ","10,942 ","27,861 ","16,231 ","7,256 ","7,401 ","37,761 ","21,699 ","20,865 ","20,369 ","13,103 ","10,836 ","5,192 ","4,429 ","4,384 ","9,746 ","8,441 ","13,088 ","17,252 ","26,216 ","22,691 ","12,495 ","12,374 ","11,862 ","12,363 ","11,581 ","9,176 ","8,797 ",
2015/12/10,"5,727 ","17,141 ","37,069 ","48,177 ","25,618 ","16,544 ","12,191 ","4,189 ","3,280 ","15,520 ","2,552 ","4,661 ","6,694 ","10,803 ","10,631 ","17,783 ","16,061 ","5,895 ","8,064 ","3,242 ","8,724 ","8,556 ","4,496 ","30,988 ","2,316 ","12,197 ","11,573 ","16,646 ","21,891 ","17,060 ","9,851 ","29,098 ","19,421 ","34,264 ","31,109 ","9,533 ","36,453 ","27,048 ","26,941 ","21,824 ","24,040 ","145,958 ","35,380 ","22,116 ","26,743 ","26,492 ","38,295 ","29,782 ","23,774 ","13,829 ","31,831 ","8,059 ","9,723 ","18,194 ","7,179 ","3,554 ","2,933 ","13,902 ","9,900 ","7,737 ","38,375 ","6,668 ","11,510 ","6,856 ","20,961 ","21,687 ","29,060 ","38,511 ","43,912 ","25,766 ","28,789 ","66,852 ","23,605 ","32,391 ","39,416 ","22,013 ","60,173 ","21,153 ","17,738 ","15,153 ","13,409 ","11,212 ","30,681 ","16,312 ","7,215 ","7,406 ","37,587 ","22,272 ","20,892 ","21,454 ","13,267 ","10,854 ","5,277 ","4,549 ","4,367 ","9,708 ","8,895 ","13,530 ","17,449 ","27,176 ","24,086 ","12,540 ","12,544 ","12,125 ","12,588 ","12,060 ","9,326 ","8,960 ",
2015/12/11,"6,611 ","17,956 ","38,180 ","55,285 ","26,343 ","17,109 ","12,898 ","4,458 ","3,375 ","18,017 ","2,694 ","4,939 ","9,311 ","11,817 ","12,033 ","18,254 ","16,409 ","6,615 ","8,724 ","3,484 ","9,309 ","9,153 ","4,612 ","33,963 ","2,449 ","13,165 ","12,605 ","17,956 ","23,705 ","18,839 ","10,524 ","35,532 ","22,006 ","36,112 ","31,922 ","9,474 ","38,139 ","28,154 ","27,884 ","22,919 ","24,680 ","180,139 ","39,786 ","23,499 ","28,739 ","29,544 ","43,266 ","34,051 ","25,439 ","14,346 ","34,045 ","8,578 ","10,106 ","19,804 ","8,459 ","3,790 ","3,074 ","14,650 ","10,556 ","8,831 ","46,696 ","6,987 ","12,541 ","7,429 ","22,448 ","22,589 ","32,189 ","47,053 ","46,430 ","26,919 ","30,982 ","76,588 ","24,255 ","35,007 ","44,256 ","23,629 ","67,842 ","22,548 ","19,068 ","16,609 ","14,497 ","11,697 ","34,231 ","17,540 ","7,913 ","7,890 ","38,371 ","29,023 ","22,257 ","23,723 ","14,910 ","11,743 ","5,503 ","4,599 ","4,754 ","10,090 ","9,252 ","15,520 ","18,277 ","28,867 ","25,483 ","13,148 ","13,197 ","12,642 ","12,794 ","12,487 ","10,285 ","9,646 ",
2015/12/12,"4,900 ","12,883 ","25,318 ","59,654 ","19,153 ","13,039 ","10,355 ","3,882 ","2,919 ","13,107 ","2,062 ","3,649 ","10,826 ","8,924 ","13,310 ","7,015 ","7,795 ","4,957 ","8,595 ","3,116 ","7,699 ","7,698 ","2,063 ","25,209 ","2,888 ","12,439 ","11,027 ","16,888 ","18,776 ","18,360 ","9,935 ","47,189 ","24,136 ","31,734 ","30,085 ","5,840 ","36,321 ","25,454 ","24,329 ","21,881 ","17,788 ","205,261 ","41,913 ","22,663 ","21,636 ","31,650 ","45,686 ","32,606 ","23,501 ","10,818 ","30,268 ","7,131 ","7,839 ","17,925 ","11,778 ","3,531 ","2,299 ","9,558 ","9,986 ","6,679 ","47,572 ","6,406 ","12,825 ","7,184 ","20,280 ","17,880 ","34,518 ","67,365 ","42,822 ","24,523 ","32,884 ","93,791 ","18,152 ","35,146 ","46,225 ","21,102 ","69,852 ","17,837 ","16,573 ","11,226 ","9,745 ","9,954 ","35,678 ","13,860 ","10,786 ","6,349 ","22,573 ","22,866 ","16,652 ","21,030 ","11,290 ","11,035 ","5,669 ","2,605 ","6,104 ","8,929 ","9,596 ","13,093 ","14,101 ","21,949 ","25,685 ","12,193 ","11,957 ","12,713 ","11,600 ","12,122 ","8,832 ","9,072 ",
2015/12/13,"5,005 ","10,506 ","19,856 ","47,886 ","13,795 ","10,364 ","7,795 ","3,587 ","2,426 ","8,464 ","2,108 ","3,451 ","15,275 ","6,726 ","11,626 ","5,375 ","6,484 ","3,724 ","6,940 ","3,938 ","5,756 ","6,399 ","1,828 ","19,872 ","2,288 ","12,544 ","9,033 ","13,033 ","15,224 ","15,735 ","8,307 ","40,774 ","18,676 ","23,952 ","23,952 ","4,117 ","29,780 ","21,285 ","20,558 ","19,150 ","13,381 ","205,137 ","33,844 ","14,818 ","20,319 ","30,399 ","38,967 ","27,167 ","23,524 ","9,126 ","24,888 ","6,045 ","6,122 ","15,484 ","10,094 ","2,996 ","1,691 ","8,417 ","11,244 ","6,137 ","53,530 ","5,947 ","11,667 ","6,417 ","17,336 ","14,734 ","28,439 ","55,351 ","34,564 ","20,394 ","28,412 ","80,065 ","14,848 ","27,574 ","34,760 ","17,962 ","59,896 ","14,325 ","13,885 ","9,540 ","8,521 ","9,820 ","31,475 ","11,108 ","11,288 ","5,289 ","16,510 ","18,001 ","13,817 ","17,227 ","8,595 ","9,396 ","4,390 ","2,285 ","3,475 ","8,149 ","7,699 ","11,575 ","11,704 ","17,547 ","22,157 ","10,221 ","10,294 ","10,233 ","10,143 ","10,119 ","7,480 ","7,639 ",
2015/12/14,"5,691 ","16,306 ","34,697 ","45,564 ","25,181 ","15,479 ","11,775 ","4,092 ","3,131 ","15,142 ","2,522 ","4,686 ","6,480 ","10,278 ","10,437 ","16,905 ","15,442 ","5,832 ","8,035 ","3,339 ","8,298 ","8,301 ","4,567 ","29,044 ","2,172 ","12,389 ","11,355 ","16,081 ","20,474 ","16,858 ","9,388 ","28,016 ","17,713 ","32,283 ","28,510 ","8,916 ","35,203 ","25,820 ","25,888 ","22,381 ","23,877 ","151,746 ","34,029 ","21,958 ","26,169 ","24,116 ","35,555 ","29,094 ","22,726 ","13,617 ","30,806 ","7,905 ","9,243 ","17,736 ","7,162 ","3,436 ","2,741 ","13,136 ","9,996 ","7,674 ","40,373 ","6,661 ","11,330 ","6,899 ","20,831 ","21,166 ","28,988 ","39,549 ","42,697 ","24,870 ","27,976 ","65,462 ","21,279 ","30,741 ","37,373 ","20,408 ","58,384 ","20,354 ","17,648 ","14,998 ","12,838 ","11,062 ","27,568 ","15,793 ","7,196 ","7,052 ","35,853 ","20,850 ","20,437 ","21,029 ","12,557 ","10,665 ","5,029 ","4,244 ","4,286 ","9,344 ","8,380 ","13,267 ","16,837 ","25,852 ","22,358 ","12,710 ","12,158 ","11,403 ","12,309 ","11,708 ","8,961 ","8,783 ",
2015/12/15,"5,508 ","16,762 ","36,235 ","47,093 ","25,457 ","16,145 ","12,001 ","4,200 ","3,325 ","15,592 ","2,462 ","4,608 ","7,528 ","10,730 ","11,165 ","17,659 ","16,080 ","5,924 ","8,010 ","3,209 ","8,701 ","8,406 ","4,564 ","29,276 ","2,220 ","12,141 ","11,452 ","16,127 ","21,788 ","16,512 ","9,603 ","28,907 ","18,606 ","33,497 ","29,899 ","9,504 ","35,615 ","26,528 ","25,905 ","21,462 ","24,922 ","141,961 ","34,826 ","22,252 ","26,856 ","25,751 ","36,749 ","29,572 ","23,649 ","13,814 ","31,643 ","7,922 ","9,603 ","18,158 ","7,707 ","3,465 ","2,834 ","13,724 ","9,881 ","7,618 ","37,773 ","6,613 ","11,484 ","6,671 ","21,084 ","21,623 ","28,947 ","38,302 ","43,115 ","25,629 ","27,724 ","64,016 ","22,767 ","31,441 ","38,289 ","20,852 ","58,402 ","20,912 ","17,652 ","15,366 ","13,320 ","11,116 ","26,971 ","16,153 ","7,041 ","7,105 ","37,066 ","21,933 ","20,755 ","20,874 ","13,267 ","10,577 ","4,996 ","4,418 ","4,366 ","9,478 ","8,530 ","13,146 ","16,978 ","26,013 ","23,082 ","12,351 ","12,383 ","11,622 ","12,207 ","11,669 ","9,071 ","8,625 ",
